DT_REFE,QT_CORRIDAS,QT_CORR_NEG,QT_CORR_PESS,VL_MAX_DIST,VL_MIN_DIST,VL_AVG_DIST,QT_CORR_REUNI,QT_CORR_NAO_REUNI
2016-12-17,2,2,0,53.0,48.0,50.5,0,2
2016-12-18,3,3,0,102.0,49.0,81.0,0,2
2016-12-19,11,11,0,102.0,7.0,45.0,1,5
2016-12-20,8,8,0,194.0,12.0,56.0,1,6
2016-12-21,10,10,0,162.0,2.0,59.2,5,5
2016-12-22,9,9,0,323.0,14.0,103.9,4,5
2016-12-23,5,5,0,96.0,3.0,49.0,3,2
2016-12-24,8,8,0,107.0,6.0,40.9,0,8
2016-12-25,3,3,0,23.0,6.0,17.3,0,3
2016-12-26,5,5,0,79.0,32.0,57.6,1,4
2016-12-27,6,6,0,79.0,5.0,37.5,1,5
2016-12-28,7,7,0,104.0,2.0,61.0,0,7
2016-12-29,13,13,0,129.0,3.0,55.5,2,10
2016-12-30,5,5,0,46.0,8.0,31.4,1,4
2016-12-31,5,5,0,482.0,7.0,150.8,2,3
